zip,scraped,stcd,county
94304,"SANTA CLARA, CA",CA,SANTA CLARA
94305,"SANTA CLARA, CA",CA,SANTA CLARA
94306,"SANTA CLARA, CA",CA,SANTA CLARA
94401,"SAN MATEO, CA",CA,SAN MATEO
94402,"SAN MATEO, CA",CA,SAN MATEO
94403,"SAN MATEO, CA",CA,SAN MATEO
94404,"SAN MATEO, CA",CA,SAN MATEO
94501,"ALAMEDA, CA",CA,ALAMEDA
94505,"CONTRA COSTA, CA",CA,CONTRA COSTA
94505,"ALAMEDA, CA",CA,ALAMEDA
94506,"CONTRA COSTA, CA",CA,CONTRA COSTA
94507,"CONTRA COSTA, CA",CA,CONTRA COSTA
94509,"CONTRA COSTA, CA",CA,CONTRA COSTA
94513,"CONTRA COSTA, CA",CA,CONTRA COSTA
94514,"CONTRA COSTA, CA",CA,CONTRA COSTA
94514,"ALAMEDA, CA",CA,ALAMEDA
94514,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
94518,"CONTRA COSTA, CA",CA,CONTRA COSTA
94519,"CONTRA COSTA, CA",CA,CONTRA COSTA
94520,"CONTRA COSTA, CA",CA,CONTRA COSTA
94521,"CONTRA COSTA, CA",CA,CONTRA COSTA
94523,"CONTRA COSTA, CA",CA,CONTRA COSTA
94525,"CONTRA COSTA, CA",CA,CONTRA COSTA
94526,"CONTRA COSTA, CA",CA,CONTRA COSTA
94528,"CONTRA COSTA, CA",CA,CONTRA COSTA
94530,"CONTRA COSTA, CA",CA,CONTRA COSTA
94531,"CONTRA COSTA, CA",CA,CONTRA COSTA
94536,"ALAMEDA, CA",CA,ALAMEDA
94538,"ALAMEDA, CA",CA,ALAMEDA
94539,"ALAMEDA, CA",CA,ALAMEDA
94547,"CONTRA COSTA, CA",CA,CONTRA COSTA
94549,"CONTRA COSTA, CA",CA,CONTRA COSTA
94550,"ALAMEDA, CA",CA,ALAMEDA
94550,"SANTA CLARA, CA",CA,SANTA CLARA
94551,"ALAMEDA, CA",CA,ALAMEDA
94551,"CONTRA COSTA, CA",CA,CONTRA COSTA
94555,"ALAMEDA, CA",CA,ALAMEDA
94563,"CONTRA COSTA, CA",CA,CONTRA COSTA
94564,"CONTRA COSTA, CA",CA,CONTRA COSTA
94566,"ALAMEDA, CA",CA,ALAMEDA
94568,"ALAMEDA, CA",CA,ALAMEDA
94572,"CONTRA COSTA, CA",CA,CONTRA COSTA
94583,"CONTRA COSTA, CA",CA,CONTRA COSTA
94588,"ALAMEDA, CA",CA,ALAMEDA
94591,"SOLANO, CA",CA,SOLANO
94595,"CONTRA COSTA, CA",CA,CONTRA COSTA
94596,"CONTRA COSTA, CA",CA,CONTRA COSTA
94598,"CONTRA COSTA, CA",CA,CONTRA COSTA
94602,"ALAMEDA, CA",CA,ALAMEDA
94609,"ALAMEDA, CA",CA,ALAMEDA
94610,"ALAMEDA, CA",CA,ALAMEDA
94611,"ALAMEDA, CA",CA,ALAMEDA
94612,"ALAMEDA, CA",CA,ALAMEDA
94618,"ALAMEDA, CA",CA,ALAMEDA
94705,"ALAMEDA, CA",CA,ALAMEDA
94706,"ALAMEDA, CA",CA,ALAMEDA
94706,"CONTRA COSTA, CA",CA,CONTRA COSTA
94707,"ALAMEDA, CA",CA,ALAMEDA
94707,"CONTRA COSTA, CA",CA,CONTRA COSTA
94708,"ALAMEDA, CA",CA,ALAMEDA
94708,"CONTRA COSTA, CA",CA,CONTRA COSTA
94803,"CONTRA COSTA, CA",CA,CONTRA COSTA
94901,"MARIN, CA",CA,MARIN
94903,"MARIN, CA",CA,MARIN
94904,"MARIN, CA",CA,MARIN
94912,"MARIN, CA",CA,MARIN
94913,"MARIN, CA",CA,MARIN
94914,"MARIN, CA",CA,MARIN
94915,"MARIN, CA",CA,MARIN
94920,"MARIN, CA",CA,MARIN
94924,"MARIN, CA",CA,MARIN
94925,"MARIN, CA",CA,MARIN
94929,"MARIN, CA",CA,MARIN
94930,"MARIN, CA",CA,MARIN
94933,"MARIN, CA",CA,MARIN
94937,"MARIN, CA",CA,MARIN
94938,"MARIN, CA",CA,MARIN
94939,"MARIN, CA",CA,MARIN
94940,"MARIN, CA",CA,MARIN
94941,"MARIN, CA",CA,MARIN
94942,"MARIN, CA",CA,MARIN
94945,"MARIN, CA",CA,MARIN
94946,"MARIN, CA",CA,MARIN
94947,"MARIN, CA",CA,MARIN
94948,"MARIN, CA",CA,MARIN
94949,"MARIN, CA",CA,MARIN
94950,"MARIN, CA",CA,MARIN
94956,"MARIN, CA",CA,MARIN
94957,"MARIN, CA",CA,MARIN
94960,"MARIN, CA",CA,MARIN
94963,"MARIN, CA",CA,MARIN
94964,"MARIN, CA",CA,MARIN
94965,"MARIN, CA",CA,MARIN
94966,"MARIN, CA",CA,MARIN
94970,"MARIN, CA",CA,MARIN
94971,"MARIN, CA",CA,MARIN
94973,"MARIN, CA",CA,MARIN
94974,"MARIN, CA",CA,MARIN
94976,"MARIN, CA",CA,MARIN
94977,"MARIN, CA",CA,MARIN
94978,"MARIN, CA",CA,MARIN
94979,"MARIN, CA",CA,MARIN
94998,"MARIN, CA",CA,MARIN
95003,"SANTA CRUZ, CA",CA,SANTA CRUZ
95004,"MONTEREY, CA",CA,MONTEREY
95004,"SAN BENITO, CA",CA,SAN BENITO
95008,"SANTA CLARA, CA",CA,SANTA CLARA
95010,"SANTA CRUZ, CA",CA,SANTA CRUZ
95012,"MONTEREY, CA",CA,MONTEREY
95013,"SANTA CLARA, CA",CA,SANTA CLARA
95014,"SANTA CLARA, CA",CA,SANTA CLARA
95015,"SANTA CLARA, CA",CA,SANTA CLARA
95018,"SANTA CRUZ, CA",CA,SANTA CRUZ
95019,"SANTA CRUZ, CA",CA,SANTA CRUZ
95020,"SANTA CLARA, CA",CA,SANTA CLARA
95023,"SAN BENITO, CA",CA,SAN BENITO
95023,"SANTA CLARA, CA",CA,SANTA CLARA
95030,"SANTA CLARA, CA",CA,SANTA CLARA
95032,"SANTA CLARA, CA",CA,SANTA CLARA
95033,"SANTA CRUZ, CA",CA,SANTA CRUZ
95033,"SANTA CLARA, CA",CA,SANTA CLARA
95035,"SANTA CLARA, CA",CA,SANTA CLARA
95037,"SANTA CLARA, CA",CA,SANTA CLARA
95039,"MONTEREY, CA",CA,MONTEREY
95042,"SANTA CLARA, CA",CA,SANTA CLARA
95045,"SAN BENITO, CA",CA,SAN BENITO
95046,"SANTA CLARA, CA",CA,SANTA CLARA
95050,"SANTA CLARA, CA",CA,SANTA CLARA
95051,"SANTA CLARA, CA",CA,SANTA CLARA
95054,"SANTA CLARA, CA",CA,SANTA CLARA
95060,"SANTA CRUZ, CA",CA,SANTA CRUZ
95062,"SANTA CRUZ, CA",CA,SANTA CRUZ
95065,"SANTA CRUZ, CA",CA,SANTA CRUZ
95066,"SANTA CRUZ, CA",CA,SANTA CRUZ
95070,"SANTA CLARA, CA",CA,SANTA CLARA
95071,"SANTA CLARA, CA",CA,SANTA CLARA
95073,"SANTA CRUZ, CA",CA,SANTA CRUZ
95076,"SANTA CRUZ, CA",CA,SANTA CRUZ
95076,"MONTEREY, CA",CA,MONTEREY
95076,"SANTA CLARA, CA",CA,SANTA CLARA
95117,"SANTA CLARA, CA",CA,SANTA CLARA
95118,"SANTA CLARA, CA",CA,SANTA CLARA
95119,"SANTA CLARA, CA",CA,SANTA CLARA
95120,"SANTA CLARA, CA",CA,SANTA CLARA
95123,"SANTA CLARA, CA",CA,SANTA CLARA
95124,"SANTA CLARA, CA",CA,SANTA CLARA
95125,"SANTA CLARA, CA",CA,SANTA CLARA
95126,"SANTA CLARA, CA",CA,SANTA CLARA
95128,"SANTA CLARA, CA",CA,SANTA CLARA
95129,"SANTA CLARA, CA",CA,SANTA CLARA
95135,"SANTA CLARA, CA",CA,SANTA CLARA
95138,"SANTA CLARA, CA",CA,SANTA CLARA
95139,"SANTA CLARA, CA",CA,SANTA CLARA
95141,"SANTA CLARA, CA",CA,SANTA CLARA
95150,"SANTA CLARA, CA",CA,SANTA CLARA
95153,"SANTA CLARA, CA",CA,SANTA CLARA
95154,"SANTA CLARA, CA",CA,SANTA CLARA
95155,"SANTA CLARA, CA",CA,SANTA CLARA
95158,"SANTA CLARA, CA",CA,SANTA CLARA
95159,"SANTA CLARA, CA",CA,SANTA CLARA
95160,"SANTA CLARA, CA",CA,SANTA CLARA
95203,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
95204,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
95205,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
95207,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
95209,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
95210,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
95212,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
95215,"SAN JOAQUIN, CA",CA,SAN JOAQUIN
